Graph 1 X	Graph 1 Y	Graph 2 X	Graph 2 Y	
53.7805	-14.1778	53.7805	-14.1778	
54.1463	-14.1778	54.1463	-14.1778	
54.5122	-14.1778	54.5122	-14.1778	
54.8781	-14.1778	54.8781	-14.1778	
55.2439	-14.1926	55.2439	-14.1926	
55.6098	-14.2074	55.6098	-14.2074	
55.9756	-14.2222	55.9756	-14.2222	
56.3415	-14.2370	56.3415	-14.2370	
56.7073	-14.2456	56.7073	-14.2456	
57.0732	-14.2483	57.0732	-14.2483	
57.4390	-14.2473	57.4390	-14.2473	
57.8049	-14.2449	57.8049	-14.2449	
58.1707	-14.2433	58.1707	-14.2433	
58.5366	-14.2449	58.5366	-14.2449	
58.9024	-14.2518	58.9024	-14.2518	
59.2683	-14.2667	59.2683	-14.2667	
59.6342	-14.2815	59.6342	-14.2815	
60.0000	-14.2963	60.0000	-14.2963	
60.3659	-14.4197	60.3659	-14.4197	
60.7317	-14.5284	60.7317	-14.5284	
61.0976	-14.6370	61.0976	-14.6370	
61.4634	-14.7457	61.4634	-14.7457	
61.8293	-14.7980	61.8293	-14.7980	
62.1951	-14.8043	62.1951	-14.8043	
62.5610	-14.7953	62.5610	-14.7953	
62.9268	-14.8017	62.9268	-14.8017	
63.2927	-14.8543	63.2927	-14.8543	
63.6585	-14.9629	63.6585	-14.9629	
64.0244	-15.0716	64.0244	-15.0716	
64.3903	-15.1802	64.3903	-15.1802	
64.7561	-15.2889	64.7561	-15.2889	
65.1220	-15.2889	65.1220	-15.2889	
65.4878	-15.2938	65.4878	-15.2938	
65.8537	-15.2988	65.8537	-15.2988	
66.2195	-15.3037	66.2195	-15.3037	
66.5854	-15.3086	66.5854	-15.3086	
66.9512	-15.3136	66.9512	-15.3136	
67.3171	-15.3185	67.3171	-15.3185	
67.6829	-15.3234	67.6829	-15.3234	
68.0488	-15.3284	68.0488	-15.3284	
68.4146	-15.3333	68.4146	-15.3333	
68.7805	-15.3333	68.7805	-15.3333	
69.1463	-15.3333	69.1463	-15.3333	
69.5122	-15.3333	69.5122	-15.3333	
69.8781	-15.3333	69.8781	-15.3333	
70.2439	-15.3333	70.2439	-15.3333	
70.6098	-15.3333	70.6098	-15.3333	
70.9756	-15.3333	70.9756	-15.3333	
71.3415	-15.3333	71.3415	-15.3333	
71.7073	-15.3333	71.7073	-15.3333	
72.0732	-15.3333	72.0732	-15.3333	
72.4390	-15.3333	72.4390	-15.3333	
72.8049	-15.3333	72.8049	-15.3333	
73.1707	-15.3333	73.1707	-15.3333	
73.5366	-15.3333	73.5366	-15.3333	
73.9024	-15.3333	73.9024	-15.3333	
74.2683	-15.3333	74.2683	-15.3333	
74.6342	-15.3333	74.6342	-15.3333	
75.0000	-15.3333	75.0000	-15.3333	
75.3659	-15.3333	75.3659	-15.3333	
75.7317	-15.3333	75.7317	-15.3333	
76.0976	-15.3333	76.0976	-15.3333	
76.4634	-15.3333	76.4634	-15.3333	
76.8293	-15.3333	76.8293	-15.3333	
77.1951	-15.3333	77.1951	-15.3333	
77.5610	-15.3358	77.5610	-15.3358	
77.9268	-15.3432	77.9268	-15.3432	
78.2927	-15.3506	78.2927	-15.3506	
78.6585	-15.3580	78.6585	-15.3580	
79.0244	-15.3654	79.0244	-15.3654	
79.3903	-15.3728	79.3903	-15.3728	
79.7561	-15.3802	79.7561	-15.3802	
80.1220	-15.3876	80.1220	-15.3876	
80.4878	-15.3950	80.4878	-15.3950	
80.8537	-15.4000	80.8537	-15.4000	
81.2195	-15.4000	81.2195	-15.4000	
81.5854	-15.4000	81.5854	-15.4000	
81.9512	-15.4000	81.9512	-15.4000	
82.3171	-15.4000	82.3171	-15.4000	
82.6829	-15.4000	82.6829	-15.4000	
83.0488	-15.4025	83.0488	-15.4025	
83.4146	-15.4049	83.4146	-15.4049	
83.7805	-15.4074	83.7805	-15.4074	
84.1464	-15.4099	84.1464	-15.4099	
84.5122	-15.4123	84.5122	-15.4123	
84.8781	-15.4148	84.8781	-15.4148	
85.2439	-15.4173	85.2439	-15.4173	
85.6098	-15.4197	85.6098	-15.4197	
85.9756	-15.4222	85.9756	-15.4222	
86.3415	-15.4222	86.3415	-15.4222	
86.7073	-15.4222	86.7073	-15.4222	
87.0732	-15.4222	87.0732	-15.4222	
87.4390	-15.4271	87.4390	-15.4271	
87.8049	-15.4321	87.8049	-15.4321	
88.1707	-15.4370	88.1707	-15.4370	
88.5366	-15.4420	88.5366	-15.4420	
88.9024	-15.4469	88.9024	-15.4469	
